t / s,&j / arb.u.
0.03,-66.3
0.08,-66.24
0.13,-66.31
0.18,-66.28
0.23,-66.34
0.28,-66.26
0.33,-66.32
0.38,-66.28
0.43,-66.32
0.48,-66.28
0.53,-66.25
0.58,-66.19
0.63,-65.78
0.68,-63.88
0.73,-60.67
0.78,-56.13
0.83,-51
0.88,-45.26
0.93,-39.26
0.98,-32.85
1.03,-26.05
1.08,-18.96
1.13,-11.52
1.18,-4.03
1.23,3.3
1.28,10.12
1.33,16.17
1.38,21.28
1.43,25.4
1.48,28.51
1.53,30.54
1.58,31.66
1.63,31.95
1.68,31.62
1.73,30.32
1.78,28.48
1.83,25.95
1.88,23
1.93,19.46
1.98,15.86
2.03,11.86
2.08,8.02
2.13,4.17
2.18,0.71
2.23,-2.64
2.28,-5.5
2.33,-8.07
2.38,-10.19
2.43,-11.87
2.48,-13.19
2.53,-14.13
2.58,-14.69
2.63,-15.03
2.68,-14.96
2.73,-14.74
2.78,-14.08
2.83,-13.22
2.88,-12.13
2.93,-10.97
2.98,-9.55
3.03,-8.25
3.08,-6.66
3.13,-5.25
3.18,-3.8
3.23,-2.42
3.28,-1.17
3.33,-0.03
3.38,1
3.43,1.85
3.48,2.53
3.53,3.06
3.58,3.36
3.63,3.53
3.68,3.64
3.73,3.53
3.78,3.5
3.83,3.13
3.88,2.75
3.93,2.26
3.98,1.74
4.03,1.15
4.08,0.54
4.13,0
4.18,-0.57
4.23,-1.16
4.28,-1.56
4.33,-2.1
4.38,-2.45
4.43,-2.86
4.48,-3.09
4.53,-3.39
4.58,-3.53
4.63,-3.65
4.68,-3.61
4.73,-3.7
4.78,-3.65
4.83,-3.72
4.88,-3.58
4.93,-3.44
4.98,-3.23
5.03,-3.08
5.08,-2.82
5.13,-2.71
5.18,-2.43
5.23,-2.31
5.28,-2.08
5.33,-1.96
5.38,-1.71
5.43,-1.67
5.48,-1.49
5.53,-1.4
5.58,-1.37
5.63,-1.37
5.68,-1.32
5.73,-1.34
5.78,-1.31
5.83,-1.33
5.88,-1.26
5.93,-1.31
5.98,-1.3
6.03,-1.34
6.08,-1.33
6.13,-1.49
6.18,-1.41
6.23,-1.56
6.28,-1.58
6.33,-1.64
6.38,-1.69
6.43,-1.7
6.48,-1.72
6.53,-1.74
6.58,-1.71
6.63,-1.78
6.68,-1.7
6.73,-1.71
6.78,-1.76
6.83,-1.73
6.88,-1.75
6.93,-1.76
6.98,-1.76
7.03,-1.76
7.08,-1.74
7.13,-1.77
7.18,-1.74
7.23,-1.77
7.28,-1.73
7.33,-1.74
7.38,-1.72
7.43,-1.74
7.48,-1.7
7.53,-1.74
7.58,-1.72
7.63,-1.76
7.68,-1.71
7.73,-1.79
7.78,-1.72
7.83,-1.76
7.88,-1.75
7.93,-1.74
7.98,-1.77
8.03,-1.7
8.08,-1.75
8.13,-1.73
8.18,-1.75
8.23,-1.78
8.28,-1.71
8.33,-1.75
8.38,-1.76
8.43,-1.72
8.48,-1.73
8.53,-1.7
8.58,-1.7
8.63,-1.79
8.68,-1.74
8.73,-1.75
8.78,-1.71
8.83,-1.77
8.88,-1.75
8.93,-1.73
8.98,-1.74
9.03,-1.74
9.08,-1.71
9.13,-1.76
9.18,-1.71
9.23,-1.75
9.28,-1.74
