t / s,&j / arb.u.
0.03,-66.94
0.08,-66.98
0.13,-66.96
0.18,-67.01
0.23,-66.92
0.28,-67.02
0.33,-66.93
0.38,-66.99
0.43,-66.9
0.48,-67.03
0.53,-66.97
0.58,-66.35
0.63,-63.68
0.68,-59.55
0.73,-53.99
0.78,-47.61
0.83,-40.23
0.88,-32.19
0.93,-22.93
0.98,-12.6
1.03,-0.72
1.08,11.8
1.13,24.32
1.18,35.13
1.23,44.38
1.28,51.73
1.33,57.62
1.38,61.83
1.43,64.81
1.48,66.16
1.53,66.44
1.58,65.07
1.63,62.44
1.68,58.27
1.73,52.77
1.78,45.53
1.83,36.81
1.88,26.31
1.93,14.58
1.98,2.24
2.03,-9.36
2.08,-19.91
2.13,-29.02
2.18,-37.13
2.23,-44.04
2.28,-50.22
2.33,-55.31
2.38,-59.38
2.43,-61.85
2.48,-62.86
2.53,-62.04
2.58,-59.62
2.63,-55.62
2.68,-50.6
2.73,-44.5
2.78,-37.75
2.83,-29.85
2.88,-21.16
2.93,-10.97
2.98,0.07
3.03,12.01
3.08,23.56
3.13,33.95
3.18,42.5
3.23,49.7
3.28,55.06
3.33,59.3
3.38,61.81
3.43,63.3
3.48,63.29
3.53,62.02
3.58,59.33
3.63,55.34
3.68,49.84
3.73,42.9
3.78,34.3
3.83,24.43
3.88,13.12
3.93,1.77
3.98,-9.42
4.03,-19.16
4.08,-27.91
4.13,-35.42
4.18,-42.14
4.23,-47.68
4.28,-52.46
4.33,-55.99
4.38,-58.33
4.43,-59.03
4.48,-58.5
4.53,-56.1
4.58,-52.66
4.63,-47.84
4.68,-42.35
4.73,-35.77
4.78,-28.52
4.83,-20.06
4.88,-10.66
4.93,-0.01
4.98,11.12
5.03,22.14
5.08,31.86
5.13,40.27
5.18,46.97
5.23,52.44
5.28,56.32
5.33,59.01
5.38,60.19
5.43,60.45
5.48,59.11
5.53,56.71
5.58,52.69
5.63,47.59
5.68,40.84
5.73,32.82
5.78,23.26
5.83,12.78
5.88,1.88
5.93,-8.46
5.98,-17.95
6.03,-26.2
6.08,-33.46
6.13,-39.7
6.18,-45.13
6.23,-49.37
6.28,-52.84
6.33,-54.84
6.38,-55.74
6.43,-55.19
