t / s,&j / arb.u.
0.03,-66.48
0.08,-66.48
0.13,-66.49
0.18,-66.48
0.23,-66.47
0.28,-66.5
0.33,-66.47
0.38,-66.5
0.43,-66.48
0.48,-66.46
0.53,-66.42
0.58,-65.77
0.63,-63.5
0.68,-59.61
0.73,-54.49
0.78,-48.36
0.83,-42.01
0.88,-35.07
0.93,-27.26
0.98,-18.47
1.03,-8.43
1.08,2.44
1.13,13.83
1.18,24.71
1.23,34.24
1.28,42.14
1.33,48.47
1.38,53.45
1.43,56.98
1.48,59.24
1.53,60.12
1.58,59.95
1.63,58.39
1.68,55.46
1.73,51.25
1.78,45.75
1.83,38.82
1.88,30.46
1.93,20.77
1.98,10.16
2.03,-0.42
2.08,-10.36
2.13,-19.27
2.18,-27.02
2.23,-33.7
2.28,-39.39
2.33,-44.01
2.38,-46.5
2.43,-46.98
2.48,-46.72
2.53,-46.06
2.58,-45.29
2.63,-44.69
2.68,-43.93
2.73,-42.51
2.78,-40.17
2.83,-37.03
2.88,-33.04
2.93,-28.35
2.98,-22.89
3.03,-16.76
3.08,-9.86
3.13,-2.5
3.18,5.32
3.23,12.98
3.28,20.33
3.33,26.82
3.38,32.37
3.43,36.86
3.48,40.25
3.53,42.56
3.58,43.84
3.63,44.15
3.68,43.57
3.73,41.85
3.78,39.12
3.83,35.3
3.88,30.53
3.93,24.79
3.98,18.26
4.03,11.03
4.08,3.77
4.13,-3.4
4.18,-10.01
4.23,-16.13
4.28,-21.51
4.33,-26.13
4.38,-29.91
4.43,-33.07
4.48,-35.38
4.53,-36.98
4.58,-37.66
4.63,-37.77
4.68,-36.96
4.73,-35.38
4.78,-33.02
4.83,-30.02
4.88,-26.24
4.93,-21.98
4.98,-16.96
5.03,-11.54
5.08,-5.51
5.13,0.79
5.18,7.15
5.23,13.31
5.28,19.17
5.33,24.22
5.38,28.56
5.43,31.96
5.48,34.52
5.53,36.15
5.58,36.91
5.63,36.82
5.68,35.85
5.73,33.88
5.78,31.1
5.83,27.32
5.88,22.9
5.93,17.74
5.98,12.09
6.03,6.16
6.08,0.31
6.13,-5.44
6.18,-10.74
6.23,-15.55
6.28,-19.83
6.33,-23.5
6.38,-26.37
6.43,-28.71
6.48,-30.42
6.53,-31.43
6.58,-31.75
6.63,-31.64
6.68,-30.61
6.73,-29.02
6.78,-26.75
6.83,-24.1
6.88,-20.73
6.93,-16.97
6.98,-12.63
7.03,-7.98
7.08,-3.03
7.13,2.06
7.18,7.15
7.23,12.01
7.28,16.51
7.33,20.44
7.38,23.77
7.43,26.34
7.48,28.25
7.53,29.26
7.58,29.71
7.63,29.38
7.68,28.24
7.73,26.29
7.78,23.75
7.83,20.44
7.88,16.68
7.93,12.39
7.98,7.78
8.03,3.11
8.08,-1.44
8.13,-5.97
8.18,-10.04
8.23,-13.84
8.28,-17.11
8.33,-19.99
8.38,-22.2
8.43,-24
8.48,-25.11
8.53,-25.85
8.58,-25.97
8.63,-25.74
8.68,-24.7
8.73,-23.3
8.78,-21.33
8.83,-19.04
8.88,-16.15
8.93,-13.04
8.98,-9.51
9.03,-5.85
9.08,-1.82
9.13,2.06
9.18,5.96
9.23,9.61
9.28,13.02
9.33,15.89
9.38,18.49
9.43,20.3
9.48,21.71
9.53,22.35
9.58,22.57
9.63,22.19
9.68,21.18
9.73,19.41
9.78,17.36
9.83,14.59
9.88,11.66
9.93,8.27
9.98,4.89
10.03,1.29
10.08,-2.16
10.13,-5.57
10.18,-8.65
10.23,-11.52
10.28,-13.93
10.33,-16.16
10.38,-17.85
10.43,-19.27
10.48,-20.04
10.53,-20.56
10.58,-20.54
10.63,-20.31
10.68,-19.35
10.73,-18.2
10.78,-16.52
10.83,-14.65
10.88,-12.39
10.93,-10.01
10.98,-7.3
11.03,-4.51
11.08,-1.43
11.13,1.38
11.18,4.19
11.23,6.79
11.28,9.27
11.33,11.3
11.38,13.12
11.43,14.45
11.48,15.44
11.53,15.85
11.58,16.02
11.63,15.59
11.68,14.8
11.73,13.42
11.78,11.84
11.83,9.85
11.88,7.7
11.93,5.23
11.98,2.83
12.03,0.23
12.08,-2.25
12.13,-4.78
12.18,-6.92
12.23,-9.11
12.28,-10.83
12.33,-12.41
12.38,-13.61
12.43,-14.55
12.48,-15.13
12.53,-15.47
12.58,-15.38
12.63,-15.21
12.68,-14.44
12.73,-13.57
12.78,-12.34
12.83,-10.95
12.88,-9.36
12.93,-7.66
12.98,-5.63
13.03,-3.69
13.08,-1.51
13.13,0.35
13.18,2.39
13.23,4.01
13.28,5.78
13.33,7.12
13.38,8.39
13.43,9.18
13.48,9.85
13.53,10.02
13.58,10.22
13.63,9.85
13.68,9.3
13.73,8.35
13.78,7.29
13.83,5.97
13.88,4.54
13.93,2.88
13.98,1.3
14.03,-0.47
14.08,-2.06
14.13,-3.81
14.18,-5.19
14.23,-6.68
14.28,-7.8
14.33,-8.92
14.38,-9.63
14.43,-10.35
14.48,-10.66
14.53,-10.85
14.58,-10.8
14.63,-10.68
14.68,-10.14
14.73,-9.61
14.78,-8.66
14.83,-7.81
14.88,-6.59
14.93,-5.57
14.98,-4.14
15.03,-2.99
15.08,-1.59
15.13,-0.4
15.18,0.91
15.23,1.93
15.28,3.01
15.33,3.76
15.38,4.52
15.43,4.9
15.48,5.37
15.53,5.33
15.58,5.43
15.63,5.19
15.68,4.84
15.73,4.25
15.78,3.66
15.83,2.75
15.88,1.98
15.93,0.94
15.98,-0.02
16.03,-1.06
16.08,-1.98
16.13,-3.04
16.18,-3.81
16.23,-4.68
16.28,-5.27
16.33,-6.02
16.38,-6.35
16.43,-6.72
16.48,-6.83
16.53,-7
16.58,-6.9
16.63,-6.88
