t / s,&j / arb.u.
0.08,-47.36
0.13,-47.32
0.18,-46.88
0.23,-45.36
0.28,-43.04
0.33,-39.67
0.38,-35.59
0.43,-30.65
0.48,-25.03
0.53,-18.59
0.58,-11.38
0.63,-3.53
0.68,4.61
0.73,12.9
0.78,20.74
0.83,27.68
0.88,33.66
0.93,38.47
0.98,41.86
1.03,44.36
1.08,45.79
1.13,46.23
1.18,45.63
1.23,43.8
1.28,40.97
1.33,37.17
1.38,32.29
1.43,26.45
1.48,19.68
1.53,12.35
1.58,4.68
1.63,-2.73
1.68,-9.84
1.73,-16.18
1.78,-21.89
1.83,-26.71
1.88,-30.88
1.93,-34.11
1.98,-36.74
2.03,-38.37
2.08,-39.33
2.13,-39.38
2.18,-38.74
2.23,-37
2.28,-34.69
2.33,-31.54
2.38,-27.79
2.43,-23.21
2.48,-18.21
2.53,-12.37
2.58,-6.21
2.63,0.5
2.68,7.07
2.73,13.76
2.78,19.8
2.83,25.2
2.88,29.48
2.93,33.12
2.98,35.69
3.03,37.45
3.08,38.08
3.13,38.17
3.18,37.02
3.23,35.11
3.28,32.08
3.33,28.42
3.38,23.75
3.43,18.58
3.48,12.63
3.53,6.61
3.58,0.44
3.63,-5.42
3.68,-11.04
3.73,-15.93
3.78,-20.48
3.83,-24.14
3.88,-27.4
3.93,-29.77
3.98,-31.64
4.03,-32.64
4.08,-33.18
4.13,-32.88
4.18,-32.01
4.23,-30.24
4.28,-28.12
4.33,-25.14
4.38,-21.76
4.43,-17.74
4.48,-13.32
4.53,-8.35
4.58,-3.31
4.63,2.2
4.68,7.51
4.73,12.73
4.78,17.39
4.83,21.61
4.88,24.98
4.93,27.78
4.98,29.47
5.03,30.65
5.08,30.95
5.13,30.68
5.18,29.44
5.23,27.5
5.28,24.74
5.33,21.36
5.38,17.29
5.43,12.89
5.48,8.01
5.53,3.16
5.58,-1.71
5.63,-6.35
5.68,-10.72
5.73,-14.73
5.78,-18.27
5.83,-21.15
5.88,-23.6
5.93,-25.44
5.98,-26.71
6.03,-27.41
6.08,-27.62
6.13,-27.28
6.18,-26.31
6.23,-24.71
6.28,-22.76
6.33,-20.21
6.38,-17.19
6.43,-13.69
6.48,-9.96
6.53,-5.91
6.58,-1.66
6.63,2.65
6.68,6.88
6.73,10.91
6.78,14.57
6.83,17.81
6.88,20.43
6.93,22.41
6.98,23.78
7.03,24.5
7.08,24.55
7.13,24.12
7.18,22.92
7.23,21.09
7.28,18.73
7.33,15.81
7.38,12.48
7.43,8.78
7.48,4.98
7.53,1.07
7.58,-2.76
7.63,-6.5
7.68,-9.92
7.73,-13.01
7.78,-15.76
7.83,-18.07
